index,prediction
235,75.6 inch
236,35 centimetre
237,
238,
239,60 centimetre
240,
241,180 centimetre
242,7 centimetre
243,
244,
245,15.1 centimetre
246,
247,78 centimetre
248,35 centimetre
249,2.32 inch
250,4.6 inch
251,45 centimetre
252,
253,40 millilitre
254,
255,
256,16 centimetre
257,
258,76 centimetre
259,
260,135 pound
261,135 pound
262,45 centimetre
263,18.5 inch
264,39 inch
265,
266,2.55 inch
267,
268,20 centimetre
269,
270,5.90 inch
271,
272,2.75 inch
273,
274,6.4 inch
275,
276,
277,6.72 watt
278,12 volt
279,
280,8.2 inch
281,
282,
283,
284,12 ounce
285,11 centimetre
286,27 centimetre
287,380 volt
288,3.5 inch
289,8 inch
290,
291,39 centimetre
292,
293,965 kilogram
294,
295,
296,44.88 inch
297,63 inch
298,
299,
300,
301,22 volt
302,
303,
304,
305,
306,
307,25 inch
308,45 pound
309,
310,
311,
312,1080 ton
313,
314,
315,21 centimetre
316,5.0 centimetre
317,
318,15 centimetre
319,1.7 kilogram
320,7.5 centimetre
321,
322,5 inch
323,180 volt
324,
325,
326,15.5 centimetre
327,7 centimetre
328,
329,
330,6 ounce
331,500 ton
332,
333,40 centimetre
334,
335,120 watt
336,40 millilitre
337,0.7 inch
338,
339,
340,24 volt
341,1.62 ounce
342,25 centimetre
343,
344,
345,120 centimetre
346,
347,
348,17 centimetre
349,14 ton
350,2.8 inch
351,
352,
353,16 centimetre
354,1 cup
355,
356,12 inch
357,
358,5.0 inch
359,8 ounce
360,
361,
362,
363,800 pound
364,74 centimetre
365,35 centimetre
366,
367,
368,
369,60 centimetre
370,
371,190 centimetre
372,
373,1.5 inch
374,
375,30 centimetre
376,3 kilogram
377,
378,12 volt
379,
380,4.7 inch
381,
382,9 centimetre
383,63 ounce
384,24 volt
385,
386,
387,
388,
389,31.4 inch
390,12 fluid ounce
391,100 centimetre
392,40 centimetre
393,
394,
395,11.5 centimetre
396,12 pound
397,
398,15 centimetre
399,
400,
401,
402,8 ounce
403,20 centimetre
404,7.9 centimetre
405,22.2 centimetre
406,
407,24 volt
408,
409,
410,
411,13.5 centimetre
412,146 centimetre
413,
414,
415,5 kilogram
416,
417,
418,2.2 inch
419,8.3 inch
420,16 fluid ounce
421,
422,
423,27 inch
424,
425,
426,
427,
428,
429,3.14 inch
430,
431,54 centimetre
432,
433,
434,
435,
436,
437,20 centimetre
438,
439,48 millimetre
440,
441,
442,220 volt
443,
444,
445,
446,12 volt
447,
448,
449,
450,
451,
452,88 centimetre
453,50 centimetre
454,39.5 centimetre
455,3.14 inch
456,
457,
458,6.29 inch
459,60 centimetre
460,
461,
462,60 centimetre
463,
464,
465,
466,10 pound
467,
468,3.5 ounce
469,
470,
471,
472,
473,
474,35 centimetre
475,
476,
477,13 inch
478,4 centimetre
479,132 pound
480,1 pound
481,
482,60 centimetre
483,
484,
485,
486,30 centimetre
487,3.9 inch
488,
489,5.9 inch
490,80 centimetre
491,36 centimetre
492,
493,12 millimetre
494,
495,4 fluid ounce
496,
497,
498,
499,4.6 inch
500,
501,5 volt
502,
503,12 inch
504,
505,1 litre
506,9 centimetre
507,
508,
509,
510,5 centimetre
511,5 centimetre
512,
513,38 centimetre
514,
515,75 kilogram
516,
517,
518,40 millimetre
519,
520,
521,39.3 inch
522,
523,67 centimetre
524,3.5 inch
525,
526,
527,7.07 inch
528,5.1 inch
529,21.2 inch
530,
531,5.5 inch
532,
533,
534,180 centimetre
535,
536,
537,
538,25 gram
539,594 millimetre
540,30 millilitre
541,21.0 centimetre
542,3.5 inch
543,
544,
545,40.64 centimetre
546,
547,60.96 centimetre
548,1.4 volt
549,190 centimetre
550,
551,5.9 inch
552,9.8 inch
553,
554,3.4 inch
555,2.1 inch
556,4 inch
557,
558,
559,25 kilogram
560,
561,18 volt
562,
563,8.65 inch
564,135 centimetre
565,31 ounce
566,3 kilogram
567,
568,
569,
570,10 centimetre
571,176 centimetre
572,
573,16 ounce
574,11.8 fluid ounce
575,86 ounce
576,3.3 kilogram
577,
578,7.8 inch
579,60 centimetre
580,140 centimetre
581,15.75 inch
582,
583,
584,350 watt
585,
586,3.52 ounce
587,200 kilogram
588,9 kilogram
589,2.1 ounce
590,
591,1 ton
592,60 centimetre
593,
594,
595,
596,5.9 inch
597,
598,25.2 volt
599,
600,
601,17.63 ounce
602,250 millilitre
603,
604,
605,0.9 inch
606,
607,80 watt
608,12 volt
609,30 centimetre
610,171 centimetre
611,42.01 centimetre
612,
613,16 inch
614,
615,
616,24 volt
617,2.65 pound
618,
619,
620,21881 ton
621,25 watt
622,
623,7.8 inch
624,
625,8.4 inch
626,
627,35 centimetre
628,
629,70.1 inch
630,
631,
632,
633,5 inch
634,
635,27 centimetre
636,30 centimetre
637,16.5 inch
638,27 inch
639,
640,
641,3.5 inch
642,6 volt
643,
644,1000 watt
645,110 volt
646,
647,10.2 inch
648,5.07 fluid ounce
649,
650,110 volt
651,
652,40 watt
653,5 pound
654,
655,14.37 inch
656,17.87 inch
657,40 centimetre
658,
659,
660,44 centimetre
661,7.5 centimetre
662,
663,26 centimetre
664,
665,
666,
667,26.7 centimetre
668,
669,300 pound
670,236 millilitre
671,
672,7.3 ounce
673,5 inch
674,8 inch
675,100 centimetre
676,55 centimetre
677,
678,
679,47.24 inch
680,15.1 centimetre
681,7.6 centimetre
682,4.7 inch
683,1.25 inch
684,
685,750 millilitre
686,5 volt
687,190 centimetre
688,
689,
690,
691,
692,2 kilogram
693,
694,130 centimetre
695,20 watt
696,
697,67 centimetre
698,
699,
700,
701,1 ton
702,
703,9 centimetre
704,6 centimetre
705,7.87 inch
706,
707,80 centimetre
708,
709,16.51 inch
710,
711,
712,
713,20 centimetre
714,
715,
716,36 centimetre
717,
718,
719,0.12 ounce
720,11.8 inch
721,3.5 inch
722,23 pound
723,
724,
725,0.1 kilogram
726,10 ton
727,
728,
729,25.2 volt
730,
731,49.99 centimetre
732,95.25 centimetre
733,
734,15 centimetre
735,
736,15.5 centimetre
737,5 millimetre
738,
739,
740,16 fluid ounce
741,
742,3.5 inch
743,
744,400 watt
745,
746,32 ounce
747,0.5 millimetre
748,
749,
750,11 inch
751,275 pound
752,5.59 inch
753,5.9 inch
754,3.9 inch
755,
756,
757,
758,10 inch
759,
760,1.75 ounce
761,
762,
764,120 centimetre
765,4 fluid ounce
766,30 centimetre
767,2.75 inch
768,
769,38 inch
770,
771,
772,1000 watt
773,110 volt
774,
775,51 watt
776,
777,
778,4.0 centimetre
779,
780,
781,0.219 pound
782,81 millimetre
783,162 millimetre
784,
785,
786,19 inch
787,
788,1.7 kilogram
789,
790,3.8 inch
791,
792,
793,5.1 inch
794,
795,9 inch
796,21.1 volt
797,5 metre
798,
799,
800,
801,65 inch
802,
803,30 inch
804,
805,
806,26 inch
807,
808,13 centimetre
809,
810,
811,71 ton
812,2.45 ounce
813,18 centimetre
814,
815,250 millilitre
816,
817,
818,
819,4 ounce
820,2 centimetre
821,
822,60 centimetre
823,12 volt
824,1.6 watt
825,7 pound
826,
827,3.5 inch
828,45 centimetre
829,400 pound
830,8.5 ounce
831,
832,
833,
834,
835,
836,1 inch
837,
838,
839,25 millimetre
840,29.5 inch
841,43.3 inch
842,
843,12.7 ounce
844,16 ounce
845,
846,
847,90 centimetre
848,5 kilogram
849,3.75 cubic inch
850,
851,
852,
853,20.25 inch
854,
855,17 centimetre
856,40 centimetre
857,
858,24.2 pound
859,12 fluid ounce
860,
861,
862,300 pound
863,
864,23 centimetre
865,7 centimetre
866,
867,150 millilitre
868,98 centimetre
869,10 inch
870,
871,10.8 centimetre
872,
873,120 centimetre
874,
875,5 pound
876,40.5 centimetre
877,180 centimetre
878,
879,
880,15 centimetre
881,7.1 centimetre
882,28 ounce
883,
884,3.14 inch
885,1 pound
886,20 watt
887,
888,
889,12 volt
890,
891,120 centimetre
892,
893,
894,33 inch
895,
896,
897,
898,84 centimetre
899,
900,
901,40 centimetre
902,6 centimetre
903,
904,4 fluid ounce
905,
906,167 centimetre
907,
908,
909,41 inch
910,
911,180 centimetre
912,1.0 centimetre
913,220 volt
914,
915,76 ounce
916,12.9 inch
917,
918,50 centimetre
919,
920,
921,220 volt
922,90 centimetre
923,
924,
925,
926,76 centimetre
927,
928,28.5 inch
929,
930,
931,9.2 inch
932,
933,12 volt
934,500 watt
935,120 volt
936,
937,30 centimetre
938,
939,
940,
941,
942,
943,
944,7.8 inch
945,3 inch
946,14 inch
947,
948,2.1 kilogram
949,
950,
951,
952,3.9 inch
953,70 centimetre
954,50 centimetre
955,30 centimetre
956,35.5 centimetre
957,107.15 millimetre
958,
959,
960,
961,27.5 centimetre
962,
963,28 centimetre
964,
965,
966,
967,2.75 inch
968,
969,
970,
971,
972,30 pound
973,3.9 inch
974,
975,
976,10 pound
977,
978,
979,9 ounce
980,80 millilitre
981,16 ounce
982,
983,1.9 inch
984,88.6 inch
985,30.48 centimetre
986,8.4 fluid ounce
987,38.5 centimetre
988,
989,
990,
991,98 ounce
992,5.11 inch
993,
994,3.34 inch
995,
996,45 centimetre
997,7.05 ounce
998,
999,10 ounce
1000,2120 volt
1001,
1002,16 pound
1003,
1004,3.74 inch
1005,32 fluid ounce
1006,
1007,9 centimetre
1008,0.38 pound
1009,31.9 inch
1010,8.5 inch
1011,
1012,
1013,53 watt
1014,
1015,
1016,107 centimetre
1017,
1018,
1019,75 ounce
1020,72.01 centimetre
1021,11 inch
1022,1.25 inch
1023,
1024,148 millimetre
1025,44.96 centimetre
1026,
1027,16 ounce
1028,500 pound
1029,
1030,1.77 inch
1031,17.68 inch
1032,50 centimetre
1033,230 volt
1034,17 watt
1035,6 volt
1036,180 centimetre
1037,12 fluid ounce
1038,9.5 centimetre
1039,
1040,18.0 cup
1041,27.6 inch
1042,129 centimetre
1043,5.9 inch
1044,2.3 inch
1045,59 centimetre
1046,
1047,
1048,12 watt
1049,
1050,
1051,14 inch
1052,9 centimetre
1053,
1054,
1055,35 centimetre
1056,
1057,5 inch
1058,7.2 inch
1059,12 ounce
1060,
1061,24 volt
1062,
1063,
1064,240 volt
1065,39 centimetre
1066,
1067,
1068,
1069,34 ton
1070,7.0 inch
1071,
1072,4.5 inch
1073,17.7 inch
1074,
1075,2.5 inch
1076,17.5 inch
1077,70 centimetre
1078,4 inch
1079,
1080,
1081,20.5 inch
1082,
1083,
1084,52 centimetre
1085,
1086,4.7 inch
1087,
1088,10 centimetre
1089,
1090,11 pound
1091,11.6 inch
1092,
1093,
1094,
1095,
1096,9 centimetre
1097,6 centimetre
1098,8.9 inch
1099,
1100,
1101,10.6 pound
1102,3.88 inch
1103,11 inch
1104,
1105,
1106,68 centimetre
1107,2.63 inch
1108,5.9 inch
1109,1.18 inch
1110,13.7 inch
1111,
1112,
1113,45 centimetre
1114,5 volt
1115,
1116,
1117,6.4 inch
1118,
1119,
1120,10 inch
1121,4.7 inch
1122,
1123,80 centimetre
1124,9 kilogram
1125,36 centimetre
1126,5 centimetre
1127,5 watt
1128,
1129,10.2 inch
1130,
1131,24 volt
1132,
1133,
1134,
1135,47 centimetre
1136,200 pound
1137,
1138,
1139,14 centimetre
1140,21 centimetre
1141,100 centimetre
1142,17 centimetre
1143,
1144,2.75 inch
1145,
1146,
1147,23 centimetre
1148,
1149,
1150,
1151,29.5 centimetre
1152,
1153,45 centimetre
1154,
1155,19.5 centimetre
1156,1250 millilitre
1157,60 centimetre
1158,
1159,
1160,34.3 inch
1161,76 centimetre
1162,
1163,
1164,
1165,
1166,60 inch
1167,7.9 inch
1168,
1169,11.6 inch
1170,
1171,
1172,
1173,8 centimetre
1174,
1175,80 centimetre
1176,
1177,10.9 ounce
1178,38 centimetre
1179,9.84 inch
1180,
1181,2.2 fluid ounce
1182,253 fluid ounce
1183,
1184,30 centimetre
1185,12 volt
1186,1 gallon
1187,15 inch
1188,
1189,21.5 pound
1190,40 millimetre
1191,
1192,
1193,180 centimetre
1194,76 centimetre
1195,190 centimetre
1196,
1197,
1198,3.14 inch
1199,
1200,
1201,45.72 centimetre
1202,200 kilogram
1203,
1204,2.8 inch
1205,
1206,
1207,35 centimetre
1208,
1209,22 inch
1210,
1211,
1212,
1213,60 centimetre
1214,
1215,14.5 ounce
1216,60 centimetre
1217,140 centimetre
1218,
1219,
1220,3.93 inch
1221,
1222,19 centimetre
1223,
1224,0.6 kilogram
1225,35.5 inch
1226,
1227,
1228,20 centimetre
1229,4.8 centimetre
1230,
1231,
1232,
1233,
1234,
1235,101.6 centimetre
1236,
1237,
1238,
1239,41 inch
1240,28 centimetre
1241,10 ounce
1242,2 fluid ounce
1243,14.57 inch
1244,11.3 centimetre
1245,
1246,4 ounce
1247,
1248,400 centimetre
1249,5.7 inch
1250,
1251,12 fluid ounce
1252,
1253,
1254,
1255,3.3 kilogram
1256,350 pound
1257,16 inch
1258,13 centimetre
1259,7.5 centimetre
1260,12 fluid ounce
1261,
1262,2.4 inch
1263,27 centimetre
1264,360 pound
1265,18 inch
1266,
1267,80 centimetre
1268,
1269,177.98 centimetre
1270,35.61 centimetre
1271,
1272,
1273,
1274,8.4 fluid ounce
1275,89 millimetre
1276,
1277,150 millimetre
1278,
1279,
1280,120 kilogram
1281,171 centimetre
1282,34.22 ounce
1283,21 ounce
1284,250 millilitre
1285,
1286,16.5 inch
1287,35.4 inch
1288,35.4 inch
1289,180 centimetre
1290,8 pound
1291,6 ounce
1292,22 centimetre
1293,
1294,
1295,9.6 centimetre
1296,76.96 centimetre
1297,10.5 inch
1298,
1299,
1300,8.5 inch
1301,
1302,
1303,5.3 ounce
1304,
1305,750 watt
1306,
1307,53 centimetre
1308,
1309,
1310,22.45 kilogram
1311,7 ounce
1312,35.4 inch
1313,
1314,3.5 centimetre
1315,
1316,
1317,
1318,3.3 inch
1319,
1320,21 centimetre
1321,0.38 ounce
1322,28.5 centimetre
1323,
1324,
1325,
1326,9.2 inch
1327,31 ounce
1328,
1329,128 millimetre
1330,12.2 centimetre
1331,9.0 kilogram
1332,
1333,
1334,210 centimetre
1335,
1336,5.98 inch
1337,1.85 inch
1338,60 centimetre
1339,
1340,3.5 pound
1341,110 centimetre
1342,0.11 ounce
1343,
1344,
1345,12 inch
1346,6.1 inch
1347,
1348,
1349,220 pound
1350,
1351,16 ounce
1352,
1353,12 volt
1354,
1355,1.77 inch
1356,
1357,6.0 inch
1358,
1359,
1360,90 centimetre
1361,
1362,
1363,
1364,
1365,30 inch
1366,
1367,
1368,12 ounce
1369,14.9 volt
1370,75 ounce
1371,
1372,
1373,
1374,50 centimetre
1375,96 centimetre
1376,50 centimetre
1377,15.24 centimetre
1378,
1379,
1380,3.7 volt
1381,33.86 inch
1382,13.39 inch
1383,
1384,
1385,
1386,6 volt
1387,43 centimetre
1388,
1389,18 centimetre
1390,
1391,
1392,160 centimetre
1393,4 fluid ounce
1394,50 centimetre
1395,100 centimetre
1396,89 inch
1397,5.5 centimetre
1398,21 centimetre
1399,
1400,48.01 centimetre
1401,1.8 kilogram
1402,3.9 inch
1403,
1404,
1405,130 centimetre
1406,35 pound
1407,
1408,17.5 ounce
1409,
1410,13 centimetre
1411,
1412,12 volt
1413,
1414,500 watt
1415,
1416,74 centimetre
1417,60 pound
1418,
1419,11 centimetre
1420,
1421,50 centimetre
1422,
1423,
1424,0.74 metre
1425,
1426,45 ton
1427,18 watt
1428,45 centimetre
1429,4 centimetre
1430,31.5 inch
1431,12.7 inch
1432,3.75 inch
1433,
1434,
1435,
1436,60 centimetre
1437,120 centimetre
1438,1.35 volt
1439,
1440,1600 watt
1441,
1442,
1443,
1444,330 millimetre
1445,110.5 kilogram
1446,2 watt
1447,
1448,
1449,11 kilogram
1450,
1451,800 milligram
1452,75 centimetre
1453,
1454,
1455,
1456,50 inch
1457,
1458,
1459,
1460,
1461,43 centimetre
1462,1003.3 inch
1463,
1464,2 centimetre
1465,24 volt
1466,2.8 watt
1467,
1468,
1469,3.5 pound
1470,41 centimetre
1471,
1472,
1473,25 pound
1474,73 centimetre
1475,0.07 inch
1476,12 inch
1477,
1478,40 centimetre
1479,
1480,88 inch
1481,18 volt
1482,
1483,57 millimetre
1484,
1485,78 centimetre
1486,
1487,100 kilogram
1488,
1489,18 volt
1490,
1491,205 millimetre
1492,157 centimetre
1493,7.98 inch
1494,
1495,5 inch
1496,
1497,
1498,300 pound
1499,600 milligram
1500,2.1 inch
1501,
1502,2 inch
1503,90 centimetre
1504,2.4 kilogram
1505,
1506,580 millimetre
1507,
1508,0.8 inch
1509,
1510,
1511,
1512,28 centimetre
1513,
1514,180 millimetre
1515,12 volt
1516,
1517,14.3 ounce
1518,10.22 inch
1519,
1520,11 centimetre
1521,57 centimetre
1522,12 volt
1523,8 inch
1524,19.5 centimetre
1525,
1526,
1527,33.9 inch
1528,
1529,14 ounce
1530,71.26 inch
1531,33.27 inch
1532,2.12 ounce
1533,2 inch
1534,
1535,1.4 kilowatt
1536,
1537,1418 volt
1538,
1539,
1540,
1541,44 centimetre
1542,
1543,500 millilitre
1544,
1545,
1546,70 centimetre
1547,
1548,800 pound
1549,
1550,
1551,
1552,
1553,330 pound
1554,
1555,48 ounce
1556,
1557,
1558,
1559,2.4 inch
1560,8.3 inch
1561,
1562,150 kilogram
1563,80 centimetre
1564,9.8 centimetre
1565,7.2 centimetre
1566,
1567,
1568,
1569,2.5 inch
1570,
1571,80 centimetre
1572,1.6 kilogram
1573,4 ounce
1574,
1575,
1576,
1577,70 millimetre
1578,22 pound
1579,
1580,110 volt
1581,
1582,
1583,45 watt
1584,
1585,35 centimetre
1586,
1587,25.8 millimetre
1588,
1589,
1590,5.7 inch
1591,
1592,5.5 inch
1593,42 inch
1594,
1595,
1596,20 millilitre
1597,80 centimetre
1598,
1599,
1600,166 centimetre
1601,30 centimetre
1602,15 centimetre
1603,
1604,200 millimetre
1605,
1606,22 millimetre
1607,97 centimetre
1608,
1609,3.25 inch
1610,
1611,5 centimetre
1612,0.4 inch
1613,9 inch
1614,3.9 inch
1615,350 pound
1616,
1617,8.06 inch
1618,1500 watt
1619,3 ton
1620,
1621,
1622,3 watt
1623,
1624,
1625,
1626,20 volt
1627,
1628,
1629,
1630,9.8 inch
1631,2.9 inch
1632,135 kilogram
1633,10.75 ounce
1634,3.7 volt
1635,1 pound
1636,
1637,7.87 inch
1638,
1639,3.8 volt
1640,350 pound
1641,
1642,35.5 centimetre
1643,20 centimetre
1644,
1645,11 inch
1646,3 inch
1647,
1648,7.5 centimetre
1649,150 centimetre
1650,80 centimetre
1651,160 centimetre
1652,52 centimetre
1653,100 centimetre
1654,
1655,12.65 inch
1656,8 centimetre
1657,5 centimetre
1658,
1659,13 inch
1660,
1661,12.5 centimetre
1662,15 centimetre
1663,900 watt
1664,19 centimetre
1665,
1666,
1667,12 fluid ounce
1668,3.5 ounce
1669,
1670,
1671,
1672,21.5 centimetre
1673,
1674,187 pound
1675,
1676,8 fluid ounce
1677,330 pound
1678,
1679,
1680,11.02 inch
1681,4.92 inch
1682,3 ounce
1683,
1684,
1685,60 millimetre
1686,10.8 centimetre
1687,
1688,16 millimetre
1689,
1690,
1691,110 pound
1692,30 kilogram
1693,
1694,
1695,5.9 inch
1696,100 kilogram
1697,100 kilogram
1698,265 pound
1699,
1700,12 volt
1701,47.2 inch
1702,7 centimetre
1703,1428 centimetre
1704,
1705,
1706,4 ounce
1707,60 millimetre
1708,
1709,22 centimetre
1710,
1711,3.6 metre
1712,33 centimetre
1713,
1714,
1715,4.7 inch
1716,0.99 kilogram
1717,140 cup
1718,
1719,17 centimetre
1720,9 centimetre
1721,
1722,
1723,
1724,2930 watt
1725,59 pound
1726,110 volt
1727,150 kilogram
1728,250 kilogram
1729,250 kilogram
1730,
1731,
1732,250 pound
1733,
1734,81 centimetre
1735,
1736,
1737,34 centimetre
1738,
1739,218 volt
1740,200 kilogram
1741,9 inch
1742,5.8 inch
1743,110 pound
1744,11.5 ounce
1745,120 volt
1746,750 watt
1747,180 millimetre
1748,340 millimetre
1749,42 millimetre
1750,11.4 millimetre
1751,
1752,
1753,
1754,4050 watt
1755,13 centimetre
1756,21 inch
1757,0.24 inch
1758,17.75 inch
1759,
1760,
1761,
1762,0.7 centimetre
1763,13.7 centimetre
1764,120 volt
1765,12 ounce
1766,
1767,
1768,16.3 kilogram
1769,265 pound
1770,120 pound
1771,
1772,220 volt
1773,13.09 inch
1774,
1775,1 kilogram
1776,2.12 ounce
1777,
1778,20 inch
1779,20 volt
1780,
1781,18 centimetre
1782,
1783,10 inch
1784,
1785,
1786,6.3 inch
1789,
1790,
1791,10 centimetre
1792,620120 pound
1793,10 ounce
1794,
1795,37 centimetre
1796,35 centimetre
1797,
1798,0.9 inch
1799,
1800,
1801,15 ounce
1802,265 pound
1803,
1804,
1805,
1806,
1807,1631 inch
1808,102 centimetre
1809,
1810,
1811,19 centimetre
1812,3.1 centimetre
1813,
1814,16 centimetre
1815,150 kilogram
1816,
1817,7.87 inch
1818,7 ounce
1819,20 volt
1820,3 fluid ounce
1821,
1822,7.8 inch
1823,
1824,29607 watt
1825,
1826,
1827,36.6 centimetre
1828,
1829,3.14 inch
1830,
1831,
1832,4 inch
1833,75 centimetre
1834,
1835,130 centimetre
1836,
1837,51.0 inch
1838,93 centimetre
1839,75 centimetre
1840,1.1 centimetre
1841,14.3 ounce
1842,
1843,29 centimetre
1844,188 centimetre
1845,2.2 centimetre
1846,
1847,
1848,
1849,23.5 centimetre
1850,12.5 centimetre
1851,
1852,
1853,20 centimetre
1854,12 centimetre
1855,265 pound
1856,73.5 millimetre
1857,
1858,350 pound
1859,50 pound
1860,600 millilitre
1861,70 pound
1862,
1863,1.2 inch
1864,6.5 centimetre
1865,11 centimetre
1866,
1867,
1868,
1869,7.7 pound
1870,16.53 inch
1871,40 millimetre
1872,
1873,2.0 inch
1874,
1875,
1876,4 pound
1877,
1878,
1879,
1880,
1881,12 volt
1882,3.6 inch
1883,
1884,11.4 inch
1885,3 inch
1886,13 centimetre
1887,
1888,9 centimetre
1889,
1890,40 centimetre
1891,
1892,5.9 inch
1893,13.5 centimetre
1894,2.9 pound
1895,
1896,
1897,42 centimetre
1898,12 ounce
1899,36 centimetre
1900,800 pound
1901,
1902,
1903,
1904,4.7 inch
1905,
1906,
1907,200 pound
1908,6.0 centimetre
1909,19.0 centimetre
1910,3.8 inch
1911,9 inch
1912,125 centimetre
1913,
1914,18 volt
1915,500 kilogram
1916,500 kilogram
1917,300 pound
1918,7 centimetre
1919,33 pound
1920,
1921,
1922,80 centimetre
1923,
1924,18 centimetre
1925,1.9 centimetre
1926,125 ton
1927,11.2 fluid ounce
1928,60.5 centimetre
1929,8.1800 millilitre
1930,
1931,5.9 inch
1932,59 centimetre
1933,33 centimetre
1934,120 volt
1935,39 centimetre
1936,
1937,110 volt
1938,
1939,150 kilogram
1940,
1941,
1942,
1943,40 centimetre
1944,
1945,1.5 litre
1946,
1947,120 centimetre
1948,76 centimetre
1949,
1951,
1952,4.2 ounce
1953,
1954,
1955,1 centimetre
1956,34 inch
1957,2 ton
1958,3.08 pound
1959,1.49 inch
1960,500 millilitre
1961,
1962,
1963,
1964,9 inch
1965,16 inch
1966,0.44 pound
1967,80 inch
1968,270 millimetre
1969,
1970,
1971,35 pound
1972,
1973,8 centimetre
1974,
1975,
1976,
1977,28 millimetre
1978,10 ounce
1979,
1980,92 millimetre
1981,
1982,18 ounce
1983,25 centimetre
1984,50 centimetre
1985,
1986,18 volt
1987,61 pound
1988,2.2 ounce
1989,300 pound
1990,
1991,
1992,11.5 inch
1993,42 inch
1994,
1995,75 centimetre
1996,23 centimetre
1997,19.5 centimetre
1998,3.6 inch
1999,6.75 inch
2000,3344 millimetre
2001,150 centimetre
2002,
2003,
2004,800600 watt
2005,120 volt
2006,
2007,5 centimetre
2008,25 centimetre
2009,0.5 pound
2010,
2011,15.5 watt
2012,1.38 inch
2013,
2014,
2015,
2016,108 centimetre
2017,11.5 fluid ounce
2018,1.6 pound
2019,
2020,
2021,
2022,5550 ton
2023,4.75 inch
2024,
2025,
2026,18 centimetre
2027,
2028,55 centimetre
2029,18.5 centimetre
2030,37 centimetre
2031,
2032,
2033,15.00 centimetre
2034,
2035,
2036,
2037,
2038,330 pound
2039,25 centimetre
2040,
2041,15 centimetre
2042,
2043,
2044,50231 millimetre
2045,2 ounce
2046,12.3 kilogram
2047,150 centimetre
2048,34.5 inch
2049,
2050,60 centimetre
2051,575575 pound
2052,
2053,
2054,
2055,
2056,
2057,3 inch
2058,
2059,
2060,2 ounce
2061,
2062,
2063,17.5 millimetre
2064,
2065,
2066,
2067,100 centimetre
2068,
2069,26.4 ounce
2070,1.5 litre
2071,12 volt
2072,14 inch
2073,14 centimetre
2074,24 ounce
2075,3.8 volt
2076,1.5 centimetre
2077,
2078,6 volt
2079,76 centimetre
2080,160 centimetre
2081,76 centimetre
2082,100 centimetre
2083,
2084,3.3 inch
2085,
2086,
2087,
2088,1.65 pound
